tweet_id,text,retweets,urls,mentions,hashtags,emoji,emoji_text,cleaned_text
1259390631790759937,Premeds who don’t think healthcare is a human right are just business majors who can do science,17313,[],[],[],[],[],Premeds who don’t think healthcare is a human right are just business majors who can do science
1257078033703489537,"If you think wearing a mask is stressful, ask a kindergartner how active shooter drills feel.",17280,[],[],[],[],[],"If you think wearing a mask is stressful, ask a kindergartner how active shooter drills feel."
1266326065833824257,"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical Supply Distribution, we made a lot of Governors look very good - And got no credit for so doing. Most importantly, we helped a lot of great people!",17269,[],[],[],[],[],"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical Supply Distribution, we made a lot of Governors look very good - And got no credit for so doing. Most importantly, we helped a lot of great people!"
1264900450614218752,"Peter Daszak is a British-born American PhD who’s spent a career discovering dangerous viruses in wildlife, especially bats. In 2003, he warned 60 Minutes a pandemic was coming. Two weeks ago, NIH funding for his virology research was killed. https://t.co/dnEmFCF1MI https://t.co/pKnnffNNOH",17262,"['https://t.co/dnEmFCF1MI', 'https://t.co/pKnnffNNOH']",[],[],['://t.co/dnEmFCF1MI https:'],['://t.co/dnEmFCF1MI https:'],"Peter Daszak is a British-born American PhD who’s spent a career discovering dangerous viruses in wildlife, especially bats. In 2003, he warned 60 Minutes a pandemic was coming. Two weeks ago, NIH funding for his virology research was killed.  "
1263959581841072141,"Mexico is sadly experiencing very big CoronaVirus problems, and now California, get this, doesn’t want people coming over the Southern Border. A Classic! They are sooo lucky that I am their President. Border is very tight and the Wall is rapidly being built!",17261,[],[],[],[],[],"Mexico is sadly experiencing very big CoronaVirus problems, and now California, get this, doesn’t want people coming over the Southern Border. A Classic! They are sooo lucky that I am their President. Border is very tight and the Wall is rapidly being built!"
1256570859935932416,Cinco de Mayo falls on a Taco Tuesday in the middle of a pandemic named after a Mexican beer.,17240,[],[],[],[],[],Cinco de Mayo falls on a Taco Tuesday in the middle of a pandemic named after a Mexican beer.
1260956986079936512,"The United States cannot have all Mail In Ballots. It will be the greatest Rigged Election in history. People grab them from mailboxes, print thousands of forgeries and “force” people to sign. Also, forge names. Some absentee OK, when necessary. Trying to use Covid for this Scam!",16962,[],[],[],[],[],"The United States cannot have all Mail In Ballots. It will be the greatest Rigged Election in history. People grab them from mailboxes, print thousands of forgeries and “force” people to sign. Also, forge names. Some absentee OK, when necessary. Trying to use Covid for this Scam!"
1267037457935224833,"Today is the anniversary of the Tulsa massacre that happened May 31st, 1921 in Tulsa, Oklahoma. White people attacked, looted and set fire to a black city now known as “Black Wall Street”. 99 years later and here we are.",16960,[],[],[],[],[],"Today is the anniversary of the Tulsa massacre that happened May 31st, 1921 in Tulsa, Oklahoma. White people attacked, looted and set fire to a black city now known as “Black Wall Street”. 99 years later and here we are."
1266434153932894208,Whats sad is that we didn’t know that the last time we hung out with people was literally the last time we’ll be able to spend time with them. It all happened in the blink of an eye and suddenly we’re in a different norm. https://t.co/eluqAkfp4g,16946,['https://t.co/eluqAkfp4g'],[],[],[],[],Whats sad is that we didn’t know that the last time we hung out with people was literally the last time we’ll be able to spend time with them. It all happened in the blink of an eye and suddenly we’re in a different norm. 
1265481886668709888,Cop falls off the truck and immediately pepper sprays nothing. A bit of insight into their 8 weeks of training before being allowed to commit war crimes https://t.co/EAHRcoZQyx,16941,['https://t.co/EAHRcoZQyx'],[],[],[],[],Cop falls off the truck and immediately pepper sprays nothing. A bit of insight into their 8 weeks of training before being allowed to commit war crimes 
1264926971890409472,"Today, I reported to Congress that Hong Kong is no longer autonomous from China, given facts on the ground. The United States stands with the people of Hong Kong.",16876,[],[],[],[],[],"Today, I reported to Congress that Hong Kong is no longer autonomous from China, given facts on the ground. The United States stands with the people of Hong Kong."
1262887793161834498,I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and @narendramodi during this pandemic. We’re also cooperating on vaccine development. Together we will beat the invisible enemy!,16870,[],['@narendramodi'],[],[],[],I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India and  during this pandemic. We’re also cooperating on vaccine development. Together we will beat the invisible enemy!
